game_id,round,tossup,team,player,opponent,category,subcategory,answer,buzz_position,value
243,1,6,Northwestern A,Andrew Salij,NYU A,Beliefs and Other,Mythology,having a strong scent,131,10
243,1,7,NYU A,Halle Friedman,Northwestern A,Literature,World Literature,Argentina,105,10
243,1,8,Northwestern A,Nikhil Chellam,NYU A,Science,Chemistry,carbon AND oxygen,100,10
243,1,9,Northwestern A,Christopher Sims,NYU A,Beliefs and Other,Religion,Parsis,123,10
243,1,10,NYU A,Halle Friedman,Northwestern A,Literature,European Literature,The School for Wives,143,10
243,1,11,Northwestern A,Sharath Narayan,NYU A,History,Other History,Thessalonica,92,-5
243,1,12,Northwestern A,Christopher Sims,NYU A,Arts,Other Fine Arts,the Major-General,47,10
243,1,13,Northwestern A,Christopher Sims,NYU A,History,World History,Angola,111,10
243,1,14,NYU A,Halle Friedman,Northwestern A,Thought,Philosophy,Parmenides of Elea,105,10
243,1,15,NYU A,Justin Chen,Northwestern A,Literature,American Literature,Suzan-Lori Parks,127,10
243,1,16,Northwestern A,Christopher Sims,NYU A,Arts,Classical Music,Manfred Symphony,58,10
243,1,17,NYU A,Halle Friedman,Northwestern A,Science,Biology,psoriasis,120,10
243,1,18,NYU A,Halle Friedman,Northwestern A,Literature,British Literature,Catherine Morland,145,0
243,1,18,Northwestern A,Sharath Narayan,NYU A,Literature,British Literature,Catherine Morland,145,0
243,1,19,Northwestern A,Nikhil Chellam,NYU A,Beliefs and Other,Geography,Mauritius,115,10
243,1,20,Northwestern A,Christopher Sims,NYU A,Science,Other Science,cardinal numbers,112,10
244,1,1,Harvard A,Cole Timmerwilke,Penn A,History,European History,German university students,91,10
244,1,2,Harvard A,Justin Duffy,Penn A,Science,Physics,gravitational lensing,118,10
244,1,3,Harvard A,Mazin Omer,Penn A,Arts,Painting/Sculpture,Kara Walker,97,-5
244,1,3,Penn A,Benjamin McAvoy-Bickford,Harvard A,Arts,Painting/Sculpture,Kara Walker,148,0
244,1,4,Harvard A,Arjun Nageswaran,Penn A,History,American History,George Crook,147,10
244,1,5,Penn A,Benjamin McAvoy-Bickford,Harvard A,Thought,Social Science,communication,88,-5
244,1,5,Harvard A,Justin Duffy,Penn A,Thought,Social Science,communication,133,0
244,1,6,Harvard A,Justin Duffy,Penn A,Beliefs and Other,Mythology,having a strong scent,109,10
244,1,7,Harvard A,Mazin Omer,Penn A,Literature,World Literature,Argentina,106,-5
244,1,7,Penn A,Benjamin McAvoy-Bickford,Harvard A,Literature,World Literature,Argentina,166,10
244,1,8,Harvard A,Mazin Omer,Penn A,Science,Chemistry,carbon AND oxygen,106,10
244,1,9,Penn A,Anirudh Bharadwaj,Harvard A,Beliefs and Other,Religion,Parsis,79,10
244,1,10,Harvard A,Mazin Omer,Penn A,Literature,European Literature,The School for Wives,158,0
244,1,10,Penn A,Vishal Kanigicherla,Harvard A,Literature,European Literature,The School for Wives,158,0
244,1,11,Penn A,Benjamin McAvoy-Bickford,Harvard A,History,Other History,Thessalonica,75,-5
244,1,11,Harvard A,Justin Duffy,Penn A,History,Other History,Thessalonica,142,0
244,1,12,Harvard A,Cole Timmerwilke,Penn A,Arts,Other Fine Arts,the Major-General,87,10
244,1,13,Penn A,Anirudh Bharadwaj,Harvard A,History,World History,Angola,105,10
244,1,14,Penn A,Benjamin McAvoy-Bickford,Harvard A,Thought,Philosophy,Parmenides of Elea,151,0
244,1,14,Harvard A,Cole Timmerwilke,Penn A,Thought,Philosophy,Parmenides of Elea,151,10
244,1,15,Harvard A,Mazin Omer,Penn A,Literature,American Literature,Suzan-Lori Parks,135,10
244,1,16,Harvard A,Arjun Nageswaran,Penn A,Arts,Classical Music,Manfred Symphony,153,10
244,1,17,Penn A,Vishal Kanigicherla,Harvard A,Science,Biology,psoriasis,106,-5
244,1,17,Harvard A,Mazin Omer,Penn A,Science,Biology,psoriasis,128,10
244,1,18,Harvard A,Cole Timmerwilke,Penn A,Literature,British Literature,Catherine Morland,104,10
244,1,19,Harvard A,Justin Duffy,Penn A,Beliefs and Other,Geography,Mauritius,126,10
244,1,20,Penn A,Anirudh Bharadwaj,Harvard A,Science,Other Science,cardinal numbers,90,-5
244,1,20,Harvard A,Arjun Nageswaran,Penn A,Science,Other Science,cardinal numbers,141,10
245,1,1,Rutgers B,Alan Wu,Columbia A,History,European History,German university students,49,10
245,1,2,Columbia A,John John Groger,Rutgers B,Science,Physics,gravitational lensing,113,10
245,1,3,Rutgers B,Lexi Terman,Columbia A,Arts,Painting/Sculpture,Kara Walker,48,-5
245,1,3,Columbia A,Noah Sheidlower,Rutgers B,Arts,Painting/Sculpture,Kara Walker,147,10
245,1,4,Columbia A,John John Groger,Rutgers B,History,American History,George Crook,147,0
245,1,4,Rutgers B,Lexi Terman,Columbia A,History,American History,George Crook,147,0
245,1,5,Rutgers B,Collin Ace,Columbia A,Thought,Social Science,communication,107,10
245,1,6,Rutgers B,Lexi Terman,Columbia A,Beliefs and Other,Mythology,having a strong scent,96,-5
245,1,6,Columbia A,Geoffrey Wu,Rutgers B,Beliefs and Other,Mythology,having a strong scent,156,10
245,1,7,Columbia A,Noah Sheidlower,Rutgers B,Literature,World Literature,Argentina,125,-5
